ID,Position X,Position Y,Position Z,Volume_um3,Position X (voxels),Position Y (voxels),Position Z (voxels),uIntCh_1,uIntCh_2,uIntCh_3,uIntCh_4,SynapseStatus,TerminalStatus,XYZinROI?,CropX,CropY,ZStart,ZEnd
209,36.174,23.354,10.486,0.554,584.394,377.292,31,10504.8,12330.5,9505.38,20091.9,Synapse,Positive,Yes,568.239,361.137,29,33
210,37.165,25.048,4.975,0.526,600.404,404.659,15,8312.99,13836.4,7606.5,8706.04,Synapse,Positive,Yes,584.249,388.504,13,17
211,34.524,26.942,6.463,0.29,557.732,435.244,19,17899.5,14750.6,4936.67,18325.699,Synapse,Positive,Yes,541.577,419.089,17,21
212,33.874,26.008,7.276,0.424,547.244,420.16,21,24868.801,14206.2,10990.9,18734.301,Synapse,Positive,Yes,531.089,404.005,19,23
214,39.011,19.836,10.42,0.215,630.225,320.444,31,2070.69,11160.1,9544.36,5861.05,Unpaired,Negative,Yes,614.07,304.289,29,33
215,33.79,23.992,9.218,0.503,545.876,387.596,27,11472.5,14036.8,8760.55,12352.4,Synapse,Positive,Yes,529.721,371.441,25,29
216,32.023,25.767,8.72,0.146,517.331,416.276,26,4212.7,12140,9865.88,13493.7,Synapse,Positive,Yes,501.176,400.121,24,28
217,35.978,21.022,12.534,0.194,581.22,339.62,37,11245.3,11172.4,10230.8,11024.4,Synapse,Positive,Yes,565.065,323.465,35,39
218,31.257,26.609,8.377,0.85,504.968,429.869,25,14418.1,14177.6,9153.33,12414.8,Synapse,Positive,Yes,488.813,413.714,23,27
219,34.947,25.005,3.982,1.227,564.58,403.955,12,10451.2,17290.801,8353.71,4665.47,Synapse,Negative,Yes,548.425,387.8,10,14
220,37.186,22.608,4.156,0.851,600.75,365.236,12,12415.1,16069.5,8863.65,4098.1,Synapse,Negative,Yes,584.595,349.081,10,14
221,28.465,27.268,10.379,0.386,459.853,440.52,31,14193,12254.9,14186.8,11055.7,Synapse,Positive,Yes,443.698,424.365,29,33
222,30.409,25.571,11.469,0.385,491.258,413.099,34,11368.9,11578.5,9968.8,17484.699,Synapse,Positive,Yes,475.103,396.944,32,36
223,36.39,21.466,6.332,0.442,587.884,346.779,19,8678.15,14903.2,13477,6759.81,Synapse,Uncertain,Yes,571.729,330.624,17,21
225,27.745,27.685,9.628,0.302,448.225,447.254,28,13342.5,12768.1,15602,13694.8,Synapse,Positive,Yes,432.07,431.099,26,30
226,27.293,28.556,8.213,0.323,440.924,461.323,24,24093.199,12459.2,7441.54,15043.1,Synapse,Positive,Yes,424.769,445.168,22,26
227,33.48,19.946,12.732,0.168,540.869,322.229,37,6878.35,10547.6,10360.9,7359.16,Synapse,Positive,Yes,524.714,306.074,35,39
228,32.443,23.29,7.235,0.438,524.121,376.258,21,9502.77,12921.3,7875,4880.39,Synapse,Negative,Yes,507.966,360.103,19,23
231,34.122,20.673,7.816,0.604,551.237,333.977,23,7585.6,14070.9,6915.13,4760.8,Synapse,Negative,Yes,535.082,317.822,21,25
232,30.624,24.854,6.427,0.638,494.738,401.515,19,8792.6,14449.9,7107.19,6509.44,Synapse,Uncertain,Yes,478.583,385.36,17,21
233,31.524,20.335,8.306,0.655,509.278,328.514,24,5391.74,12191.1,4557.16,3541.85,Synapse,Negative,Yes,493.123,312.359,22,26
234,27.046,23.775,12.127,0.562,436.932,384.084,36,7625.71,12724.9,16068.8,5754.25,Synapse,Negative,Yes,420.777,367.929,34,38
237,21.317,30.229,6.848,0.655,344.376,488.355,20,8096.46,13716,9593.76,13006.4,Synapse,Positive,Yes,328.221,472.2,18,22
239,28.022,23.494,4.459,0.841,452.701,379.546,13,9995.62,16115.1,12085.5,5398.77,Synapse,Uncertain,Yes,436.546,363.391,11,15
240,22.625,26.782,10.78,0.438,365.501,432.659,32,11977.6,13470.5,17994.6,9082.57,Synapse,Positive,Yes,349.346,416.504,30,34
241,27.037,24.731,5.652,0.838,436.785,399.53,17,9255.38,16132.1,7783.78,4150.17,Synapse,Negative,Yes,420.63,383.375,15,19
242,35.065,14.71,6.314,0.497,566.477,237.649,19,8914.26,11787.2,9096.26,4146.24,Synapse,Uncertain,Yes,550.322,221.494,17,21
245,19.421,28.943,5.378,0.286,313.754,467.58,16,13656.3,13268.2,10701.3,12107.8,Synapse,Positive,Yes,297.599,451.425,14,18
246,26.085,21.602,7.269,0.154,421.407,348.985,21,7490.87,11310,4320.77,10583.7,Synapse,Positive,Yes,405.252,332.83,19,23
247,17.802,30.629,8.646,0.345,287.599,494.813,25,21566.1,13614.1,6200.02,18488.1,Synapse,Positive,Yes,271.444,478.658,23,27
249,22.209,25.825,5.454,1.005,358.79,417.21,16,9360.05,15643.7,6363.41,4142.78,Synapse,Negative,Yes,342.635,401.055,14,18
250,23.09,23.774,9.801,0.607,373.016,384.079,29,3242.84,12866.7,7492.3,4601.22,Synapse,Negative,Yes,356.861,367.924,27,31
